2025-04-20,Food,120,Paneer Butter Masala
2025-04-20,Food,60,Masala Dosa
2025-04-21,Food,45,Samosa & Tea
2025-04-21,Food,180,Chicken Biryani
2025-04-22,Food,90,Veg Thali
2025-04-22,Food,40,Street Momos
2025-04-23,Food,150,Burger & Fries
2025-04-23,Food,75,Cold Coffee
2025-04-24,Food,200,Pizza (Medium)
2025-04-24,Food,110,Noodles & Spring Roll
2025-04-20,Transport,50,Auto to office
2025-04-20,Transport,20,Bus fare
2025-04-21,Transport,300,Fuel for bike
2025-04-21,Transport,150,Uber to client meeting
2025-04-22,Transport,40,Metro ticket
2025-04-22,Transport,60,Shared cab
2025-04-23,Transport,500,Car service (monthly)
2025-04-23,Transport,30,Bus fare
2025-04-24,Transport,100,Bike repair
2025-04-24,Transport,70,Rickshaw to market
2025-04-20,Entertainment,250,Movie ticket
2025-04-20,Entertainment,100,Snacks at cinema
2025-04-21,Entertainment,399,Netflix subscription
2025-04-21,Entertainment,150,Mobile game purchase
2025-04-22,Entertainment,300,Concert entry
2025-04-22,Entertainment,90,Arcade games
2025-04-23,Entertainment,200,Bowling
2025-04-23,Entertainment,120,Comedy show
2025-04-24,Entertainment,500,Theme park ticket
2025-04-24,Entertainment,75,Online movie rental
2025-04-20,Groceries,2000,Ration
2025-04-20,Groceries,500,Vegetables
2025-04-21,Groceries,1500,Snacks
2025-04-21,Groceries,800,Milk & dairy
2025-04-22,Groceries,600,Spices
2025-04-22,Groceries,300,Household items
2025-04-23,Groceries,400,Personal care items
2025-04-23,Groceries,700,Stationery
2025-04-24,Groceries,1000,Pet food
2025-04-24,Groceries,200,Kitchen appliances
2025-04-20,Utilities,1200,Electricity bill
2025-04-20,Utilities,500,Water bill
2025-04-21,Utilities,999,Internet recharge
2025-04-21,Utilities,199,Mobile recharge
2025-04-22,Utilities,250,Cylinder refill
2025-04-22,Utilities,450,DTH recharge
2025-04-23,Utilities,300,Water purifier service
2025-04-23,Utilities,150,Light bulbs
2025-04-24,Utilities,400,Gas pipeline maintenance
2025-04-24,Utilities,600,Society maintenance fee